
gnostic_war_cants;Gnosis, Sing the War Cants;x
gnostic_war_cants_desc;Begin chanting the songs of the Gnosis and let the world of your enemies burn and break asunder.;x
gnostic_war_cants_offensive;High Magic Magic Phase.;;;;;;;;;;;;x;
gnostic_war_cants_offensive_desc;Begin [Root.GetBestName]'s High Magic battle phase.;;;;;;;;;;;;x;

gnostic_war_cants_offensive.1;Gnostic War Cants.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1_desc;High Magic is quite simply magic in its purest form. Those who have mastered this most challenging of lores hold the entire spectrum of magic at their command. At a High Mage's word, shimmering fields of magical energy spring into being to protect his allies, and the fires of courage can blaze anew within their hearts. The truly gifted can even becalm the Winds of Magic themselves, collapsing a raging tempest until naught but a gentle breeze remains. With but a wave of his hand, a High Mage can call down the wrath of the heavens, paralyse his foes, or immolate whole regiments with Asuryan's Fire.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1a;Cast Drain Magic.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1b;Cast Soul Quench.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1c;Cast Apotheosis.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1d;Cast Firey Convocation.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1a_desc;Drain Magic is the pinnacle of high magic, it prevents all magic than high magic from working in the province.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1b_desc;Soul Quench is a deadly magic missile.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1c_desc;Apotheosis is a powerful healing spell.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1d_desc;Firey Convocation is a powerful damage over time spell.;;;;;;;;;;;;x;

gnostic_war_cants_offensive.1000;Drain Magic.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1000;Drain Magic.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1000_desc;Drain Magic is the pinnacle of high magic, it prevents all magic than high magic from working in the province.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1000a;Cast Drain Magic at power 1.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1000b;Cast Drain Magic at power 2.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1000c;Cast Drain Magic at power 3.;;;;;;;;;;;;x;

gnostic_war_cants_offensive.1100;Drain Magic Power 1.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1100_desc;Drain Magic will stop any magic but high magic for 10 days, and will put a random enemies spell casting on cooldown.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1100a;Magic is Might!.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1110;Dispel Drain Magic 1.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1110_desc;Your nefarious foe has unleashed their evil magics upon you, do you wish to attempt to dispel their magic?.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1110a;Yes.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1110b;No.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1120;Magic Duel.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1120_desc;Curses, [event_target:high_magic_dispeler.GetBestName] has attempted to stop your spell!.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1120a;Yes.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1120b;No.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1121;Magic Duel.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1121_desc;Curses, Your enemy, the evil [event_target:high_magic_caster.GetBestName] has engaged you in a deeper contest of power.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1121a;Yes.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1121b;No.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1122;Magic Duel.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1122_desc;The battle of minds continues, surely [event_target:high_magic_dispeler.GetBestName] must be growing weak by now, do you wish to continue the battle.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1122a;Yes.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1122b;No.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.11111;Drain Magic Power 1.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.11111_desc;Your spell burns through the air, taking from all enemies the ability to cast.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.11111a;Cast Another Spell.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.11111b;No.;;;;;;;;;;;;x;

gnostic_war_cants_offensive.1200;Drain Magic Power 2.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1200_desc;Drain Magic will stop any magic but high magic for 10 days, and will put three random enemies spell casting on cooldown.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1200a;Magic is Might!.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1210;Dispel Drain Magic 3.;;;;;;;;;;;;x;
gnostic_war_cants_offensive.1210_desc;Your nefarious foe has unleashed their evil magics upon you, do you wish to attempt to dispel their magic?.;;;;;;;;;;;;x;
